Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,lat,lon,captial
Portugal,89,5.1950001717,5.2850417331,5.1049586102,1.3151752949,1.3670430183,0.7958435416,0.4984652996,0.0951027125,0.0158694517,1.1076827049,38.42,-9.1,Lisbon
Bosnia and Herzegovina,90,5.1820001602,5.2763356867,5.0876646337,0.9824094176,1.0693359375,0.7051863074,0.2044031769,0.3288674951,0,1.892172575,#N/A,#N/A,#N/A
Honduras,91,5.1810002327,5.3015827969,5.0604176685,0.7305731177,1.1439449787,0.5825694799,0.3480798602,0.2361888736,0.0733454525,2.0658111572,#N/A,#N/A,#N/A
Macedonia,92,5.1750001907,5.2721726397,5.0778277418,1.0645779371,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.0602777936,1.6174693108,#N/A,#N/A,#N/A
Somalia,93,5.1510000229,5.2424837099,5.0595163359,0.0226431843,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236,3.1174845695,2.02,45.25,Mogadishu
Vietnam,94,5.0739998817,5.1472807646,5.0007189989,0.7885475755,1.2774913311,0.6521689892,0.5710555911,0.2349680513,0.0876332372,1.4623186588,#N/A,#N/A,#N/A
Nigeria,95,5.0739998817,5.2095001355,4.938499628,0.7837562561,1.215770483,0.0569157302,0.3949525654,0.2309471965,0.0261215661,2.3653905392,9.05,7.32,Abuja
Tajikistan,96,5.0409998894,5.1114255959,4.9705741829,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462,1.8490493298,38.33,68.48,Dushanbe
Bhutan,97,5.0110001564,5.0793345621,4.9426657507,0.8854163885,1.3401265144,0.4958792925,0.5015376806,0.4740545452,0.1733803898,1.1401844025,#N/A,#N/A,#N/A
Kyrgyzstan,98,5.0040001869,5.0899199031,4.9180804707,0.5962200761,1.3942385912,0.5534577966,0.4549433887,0.4285803735,0.039439179,1.5367231369,42.54,74.46,Bishkek
Nepal,99,4.9619998932,5.0673560794,4.856643707,0.4798201919,1.1792832613,0.5041307807,0.4403059483,0.3940961659,0.0729755461,1.8912410736,27.45,85.2,Kathmandu
Mongolia,100,4.9549999237,5.0216795091,4.8883203383,1.0272358656,1.4930112362,0.5577834845,0.3941439688,0.3384642303,0.0329022892,1.1112923622,#N/A,#N/A,#N/A
South Africa,101,4.8289999962,4.9294351877,4.7285648046,1.0546987057,1.3847886324,0.1870800704,0.4792467356,0.1393623799,0.0725094974,1.5109086037,-25.44,28.12,Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial)
Tunisia,102,4.8049998283,4.884367007,4.7256326497,1.0072658062,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.0867231488,1.8902511597,36.5,10.11,Tunis
Palestinian Territories,103,4.7750000954,4.8818483426,4.6681518482,0.7162492275,1.1556471586,0.5656669736,0.2547110617,0.1141731739,0.0892826021,1.878890276,#N/A,#N/A,#N/A
Egypt,104,4.7350001335,4.8251337896,4.6448664774,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655,1.7021610737,#N/A,#N/A,#N/A
Bulgaria,105,4.7140002251,4.8036947064,4.6243057437,1.1614590883,1.4343794584,0.7082176805,0.2892317176,0.1131776944,0.0110515309,0.9961392879,#N/A,#N/A,#N/A
Sierra Leone,106,4.7090001106,4.850643335,4.5673568863,0.3684209287,0.984136045,0.0055647539,0.318697691,0.2930409014,0.071095176,2.6684598923,8.3,-13.17,Freetown
Cameroon,107,4.6950001717,4.7965408573,4.5934594861,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.0513066314,2.3336455822,#N/A,#N/A,#N/A
Iran,108,4.6919999123,4.7982247077,4.5857751168,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735,1.498734951,#N/A,#N/A,#N/A
Albania,109,4.6440000534,4.7524640064,4.5355361004,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216,1.4904415607,#N/A,#N/A,#N/A
Bangladesh,110,4.6079998016,4.6898216583,4.526177945,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594,1.9787361622,#N/A,#N/A,#N/A
Namibia,111,4.5739998817,4.7703547409,4.3776450226,0.9644343257,1.0984708071,0.3386118114,0.5203035474,0.077133745,0.0931469724,1.4818902016,-22.35,17.04,Windhoek
Kenya,112,4.5529999733,4.6556915906,4.450308356,0.5604794621,1.0679507256,0.3099883497,0.4527637661,0.4448603094,0.0646413192,1.6519021988,#N/A,#N/A,#N/A
Mozambique,113,4.5500001907,4.7741023263,4.3258980551,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856,2.3556509018,-25.58,32.32,Maputo
Myanmar,114,4.5450000763,4.6147399464,4.4752602062,0.3671105504,1.1232359409,0.3975225687,0.5144920349,0.838075161,0.1888162047,1.1152904034,16.45,96.2,Yangon
Senegal,115,4.5349998474,4.6016037813,4.4683959135,0.4793090224,1.1796919107,0.4093628526,0.3779222667,0.1834688932,0.115460448,1.7896461487,14.34,-17.29,Dakar
Zambia,116,4.513999939,4.6441055015,4.3838943765,0.6364067793,1.0031872988,0.2578358948,0.4616034925,0.2495801449,0.0782135502,1.8267054558,-15.28,28.16,Lusaka
